original,original_bytes,best,best_bytes,savings_bytes,savings_percent
originals/00177_oqHr3GgQdTDzYDWeUoZPd8MukU_c9acc59782f9.png,43432,best/00177_oqHr3GgQdTDzYDWeUoZPd8MukU_c9acc59782f9.avif,10468,32964,75.9
originals/00179_oqHr3GgQdTDzYDWeUoZPd8MukU_7fb30aa82cca.png,13173,best/00179_oqHr3GgQdTDzYDWeUoZPd8MukU_7fb30aa82cca.avif,5028,8145,61.83
originals/00181_oqHr3GgQdTDzYDWeUoZPd8MukU_e46a2dc1818a.png,75618,best/00181_oqHr3GgQdTDzYDWeUoZPd8MukU_e46a2dc1818a.avif,19736,55882,73.9
originals/00183_paOnEoR3Gqf2LWRZGYBJ2Uokw_5a8b36ecf266.png,44321,best/00183_paOnEoR3Gqf2LWRZGYBJ2Uokw_5a8b36ecf266.webp,18566,25755,58.11
originals/00185_q2uWrYWiZmMyus58IGeMLSbGI_036b143d0f63.png,9456,best/00185_q2uWrYWiZmMyus58IGeMLSbGI_036b143d0f63.avif,5710,3746,39.62
originals/00187_qV951zlqkRByvsPmXxPODM34CY_320c3466ffd2.png,42732,best/00187_qV951zlqkRByvsPmXxPODM34CY_320c3466ffd2.avif,9687,33045,77.33
originals/00189_qV951zlqkRByvsPmXxPODM34CY_3b438b091e26.png,12587,best/00189_qV951zlqkRByvsPmXxPODM34CY_3b438b091e26.avif,5329,7258,57.66
originals/00191_qV951zlqkRByvsPmXxPODM34CY_009260c4065a.png,52342,best/00191_qV951zlqkRByvsPmXxPODM34CY_009260c4065a.avif,11426,40916,78.17
originals/00193_snLhnFxV1S915H070FVXdFseVw_c8b25d0a32c1.png,74649,best/00193_snLhnFxV1S915H070FVXdFseVw_c8b25d0a32c1.avif,32573,42076,56.37
originals/00195_snLhnFxV1S915H070FVXdFseVw_6cebccb81bff.png,27405,best/00195_snLhnFxV1S915H070FVXdFseVw_6cebccb81bff.avif,13093,14312,52.22
originals/00197_snLhnFxV1S915H070FVXdFseVw_345fab2843f4.png,129735,best/00197_snLhnFxV1S915H070FVXdFseVw_345fab2843f4.webp,69752,59983,46.24
originals/00199_t2wNbRc2L3kekbAfprvHBau4A_ab9926cad088.jpg,37603,best/00199_t2wNbRc2L3kekbAfprvHBau4A_ab9926cad088.webp,24062,13541,36.01
originals/00201_uBsU5ZsqLrzBSK23aKqkDZSVGIo_598eb6621465.svg,1245,best/00201_uBsU5ZsqLrzBSK23aKqkDZSVGIo_598eb6621465.svg,1245,0,0.0
originals/00203_vC7EYvFVXWs3QWn7JLdi51Vvd7s_d903bb2f1add.png,77820,best/00203_vC7EYvFVXWs3QWn7JLdi51Vvd7s_d903bb2f1add.avif,17205,60615,77.89
originals/00205_vyhgfyTZdnvKgcOFSsKadXmcI_df3d8f2ca357.png,59618,best/00205_vyhgfyTZdnvKgcOFSsKadXmcI_df3d8f2ca357.avif,17615,42003,70.45
originals/00206_xWKyg85eDVm8FJeXNodQY3RoGpE_9ac44a8bc7ca.png,2177,best/00206_xWKyg85eDVm8FJeXNodQY3RoGpE_9ac44a8bc7ca.avif,1110,1067,49.01
originals/00208_ym25M3iouz0vhhEOFTk3BkvmRM_16f0156d976f.png,20709,best/00208_ym25M3iouz0vhhEOFTk3BkvmRM_16f0156d976f.avif,11711,8998,43.45
originals/00210_zmJZrAHLgexbSUaBuE8JSFohl8_1f61f33d12da.png,153021,best/00210_zmJZrAHLgexbSUaBuE8JSFohl8_1f61f33d12da.avif,44595,108426,70.86
originals/00212_zmJZrAHLgexbSUaBuE8JSFohl8_5e80752d6186.png,45145,best/00212_zmJZrAHLgexbSUaBuE8JSFohl8_5e80752d6186.avif,13189,31956,70.79
originals/00214_zmJZrAHLgexbSUaBuE8JSFohl8_975c6abe7dcd.png,208866,best/00214_zmJZrAHLgexbSUaBuE8JSFohl8_975c6abe7dcd.avif,62559,146307,70.05
originals/00215_12_ac5127b1c3a4.png,1444968,best/00215_12_ac5127b1c3a4.avif,32415,1412553,97.76
originals/00216_13_ee3780ae03b8.png,1259836,best/00216_13_ee3780ae03b8.avif,20888,1238948,98.34
originals/00217_2_1a5b83aee33a.png,1465320,best/00217_2_1a5b83aee33a.avif,46407,1418913,96.83
originals/00218_7_652b0d98547f.png,1342343,best/00218_7_652b0d98547f.avif,28976,1313367,97.84
